task_id,domain,difficulty,n_rules_initial,n_updates,behavioral_diff_gold_vs_initial,model,final_score,success,n_tool_calls,elapsed_seconds
task_0000,refund,hard,8,6,0.652,claude-sonnet-4-6,1.0,True,26,1406.1
task_0001,approval,very_hard,12,8,0.378,claude-sonnet-4-6,1.0,True,7,83.8
task_0002,access_control,ultra_hard,15,10,0.882,claude-sonnet-4-6,1.0,True,15,1094.1
task_0003,escalation,hard,8,6,0.156,claude-sonnet-4-6,0.998,True,19,731.5
task_0004,refund,very_hard,12,8,0.4,claude-sonnet-4-6,1.0,True,8,193.7
task_0005,approval,ultra_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0006,access_control,hard,8,6,0.618,claude-sonnet-4-6,1.0,True,14,265.7
task_0007,escalation,very_hard,12,8,0.8,claude-sonnet-4-6,1.0,True,11,311.3
task_0008,refund,ultra_hard,15,10,0.892,claude-sonnet-4-6,0.348,False,11,518.5
task_0009,approval,hard,8,6,0.338,claude-sonnet-4-6,1.0,True,11,169.9
task_0010,access_control,very_hard,12,8,0.408,claude-sonnet-4-6,0.8415,False,7,164.3
task_0011,escalation,ultra_hard,15,10,0.702,claude-sonnet-4-6,1.0,True,12,946.2
task_0012,refund,hard,8,6,0.386,claude-sonnet-4-6,1.0,True,16,474.3
task_0013,approval,very_hard,12,8,0.808,claude-sonnet-4-6,1.0,True,13,325.2
task_0014,access_control,ultra_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0015,escalation,hard,8,6,1.0,claude-sonnet-4-6,1.0,True,7,165.6
task_0016,refund,very_hard,12,8,0.72,claude-sonnet-4-6,1.0,True,7,219.9
task_0017,approval,ultra_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0018,access_control,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0019,escalation,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0020,refund,ultra_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0021,approval,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0022,access_control,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0023,escalation,ultra_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0024,refund,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0025,approval,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0026,access_control,ultra_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0027,escalation,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0028,refund,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0029,approval,ultra_hard,,,,claude-sonnet-4-6,0.0,False,0,
