task_id,domain,difficulty,n_rules_initial,n_updates,behavioral_diff_gold_vs_initial,model,final_score,success,n_tool_calls,elapsed_seconds
task_0000,refund,ultra_hard,12,8,0.224,claude-sonnet-4-6,0.793,False,7,280.1
task_0001,approval,ultra_hard,13,9,0.398,claude-sonnet-4-6,1.0,True,5,30.1
task_0002,access_control,ultra_hard,14,10,0.494,claude-sonnet-4-6,0.9495,False,5,35.8
task_0003,refund,ultra_hard,16,9,0.596,claude-sonnet-4-6,0.908,False,7,108.6
task_0004,approval,ultra_hard,12,10,0.566,claude-sonnet-4-6,0.936,False,5,80.5
task_0005,access_control,ultra_hard,13,8,0.474,claude-sonnet-4-6,1.0,True,5,131.5
task_0006,escalation,ultra_hard,14,9,0.56,claude-sonnet-4-6,1.0,True,5,65.0
task_0007,refund,ultra_hard,15,10,0.402,claude-sonnet-4-6,0.666,False,5,36.9
task_0008,approval,ultra_hard,16,8,0.344,claude-sonnet-4-6,1.0,True,5,33.0
task_0009,access_control,ultra_hard,12,9,0.546,claude-sonnet-4-6,1.0,True,5,53.2
task_0010,escalation,ultra_hard,13,10,0.638,claude-sonnet-4-6,1.0,True,5,72.4
task_0011,refund,ultra_hard,14,8,0.724,claude-sonnet-4-6,1.0,True,5,85.0
task_0012,approval,ultra_hard,15,9,0.496,claude-sonnet-4-6,1.0,True,5,84.3
task_0013,escalation,ultra_hard,12,8,0.758,claude-sonnet-4-6,1.0,True,5,87.1
task_0014,refund,ultra_hard,13,9,0.672,claude-sonnet-4-6,1.0,True,5,108.2
task_0015,approval,ultra_hard,14,10,0.474,claude-sonnet-4-6,1.0,True,5,173.6
task_0016,access_control,ultra_hard,15,8,0.502,claude-sonnet-4-6,1.0,True,5,69.6
task_0017,escalation,ultra_hard,16,9,0.682,claude-sonnet-4-6,1.0,True,5,87.8
task_0018,refund,ultra_hard,12,10,0.666,claude-sonnet-4-6,0.573,False,5,92.3
task_0019,access_control,ultra_hard,14,9,0.284,claude-sonnet-4-6,1.0,True,5,153.8
