task_id,domain,difficulty,n_rules_initial,n_updates,behavioral_diff_gold_vs_initial,model,final_score,success,n_tool_calls,elapsed_seconds
task_0000,approval,ultra_hard,13,9,0.568,claude-sonnet-4-6,0.9535,True,5,35.1
task_0001,access_control,ultra_hard,14,10,0.724,claude-sonnet-4-6,0.9755,True,5,114.6
task_0002,refund,ultra_hard,16,9,0.432,claude-sonnet-4-6,1.0,True,5,35.3
task_0003,approval,ultra_hard,12,10,0.896,claude-sonnet-4-6,1.0,True,5,100.2
task_0004,access_control,ultra_hard,13,8,0.202,claude-sonnet-4-6,0.9755,True,5,116.2
task_0005,escalation,ultra_hard,14,9,0.91,claude-sonnet-4-6,1.0,True,5,203.2
task_0006,refund,ultra_hard,15,10,0.52,claude-sonnet-4-6,0.5625,False,5,124.2
task_0007,approval,ultra_hard,16,8,0.39,claude-sonnet-4-6,1.0,True,5,61.4
task_0008,access_control,ultra_hard,12,9,0.466,claude-sonnet-4-6,1.0,True,5,78.1
task_0009,escalation,ultra_hard,13,10,0.75,claude-sonnet-4-6,1.0,True,5,203.2
task_0010,refund,ultra_hard,14,8,0.724,claude-sonnet-4-6,1.0,True,5,103.3
task_0011,approval,ultra_hard,15,9,0.456,claude-sonnet-4-6,1.0,True,5,110.2
task_0012,access_control,ultra_hard,16,10,0.202,claude-sonnet-4-6,1.0,True,5,69.4
task_0013,escalation,ultra_hard,12,8,0.31,claude-sonnet-4-6,1.0,True,5,111.1
task_0014,refund,ultra_hard,13,9,0.684,claude-sonnet-4-6,1.0,True,5,275.6
task_0015,approval,ultra_hard,14,10,0.396,claude-sonnet-4-6,1.0,True,5,88.3
task_0016,access_control,ultra_hard,15,8,0.502,claude-sonnet-4-6,1.0,True,5,63.4
task_0017,escalation,ultra_hard,16,9,0.664,claude-sonnet-4-6,1.0,True,5,93.7
task_0018,refund,ultra_hard,12,10,0.69,claude-sonnet-4-6,1.0,True,5,70.2
task_0019,access_control,ultra_hard,14,9,0.26,claude-sonnet-4-6,1.0,True,5,71.2
