task_id,domain,difficulty,n_rules_initial,n_updates,behavioral_diff_gold_vs_initial,model,final_score,success,n_tool_calls,elapsed_seconds
task_0000,refund,ultra_hard,12,8,0.634,o3,0.6575,False,4,126.3
task_0001,approval,ultra_hard,13,9,0.63,o3,0.464,False,5,265.6
task_0002,access_control,ultra_hard,14,10,0.436,o3,0.7775,False,4,122.5
task_0003,escalation,ultra_hard,15,8,0.528,o3,0.5675,False,4,79.8
task_0004,refund,ultra_hard,16,9,0.314,o3,0.7555,False,4,131.2
task_0005,approval,ultra_hard,12,10,0.662,o3,0.993,True,3,59.3
task_0006,access_control,ultra_hard,13,8,0.546,o3,0.6335,False,6,186.4
task_0007,escalation,ultra_hard,14,9,0.376,o3,0.6325,False,4,99.5
task_0008,refund,ultra_hard,15,10,0.55,o3,0.99,True,4,96.9
task_0009,approval,ultra_hard,16,8,0.254,o3,0.771,False,5,217.7
task_0010,escalation,ultra_hard,13,10,0.458,o3,0.857,False,8,372.6
task_0011,refund,ultra_hard,14,8,0.41,o3,0.801,False,4,151.7
task_0012,access_control,ultra_hard,16,10,0.502,o3,0.4985,False,4,150.0
task_0013,escalation,ultra_hard,12,8,0.384,o3,0.0,False,3,151.2
task_0014,refund,ultra_hard,13,9,0.288,o3,0.7145,False,4,72.9
task_0015,escalation,ultra_hard,16,9,0.26,o3,0.7575,False,4,106.6
task_0016,refund,ultra_hard,12,10,0.402,o3,0.1055,False,5,165.9
task_0017,approval,ultra_hard,13,8,0.766,o3,0.7165,False,4,141.5
task_0018,access_control,ultra_hard,14,9,0.366,o3,0.6025,False,4,49.7
task_0019,escalation,ultra_hard,15,10,0.544,o3,0.713,False,5,210.4
