task_id,domain,difficulty,n_rules_initial,n_updates,behavioral_diff_gold_vs_initial,model,final_score,success,n_tool_calls,elapsed_seconds
task_0000,refund,ultra_hard,12,8,0.642,claude-sonnet-4-6,0.366,False,5,160.8
task_0001,approval,ultra_hard,13,9,0.62,claude-sonnet-4-6,0.741,False,5,29.8
task_0002,access_control,ultra_hard,14,10,0.446,claude-sonnet-4-6,0.9225,False,5,50.5
task_0003,escalation,ultra_hard,15,8,0.532,claude-sonnet-4-6,1.0,True,5,89.3
task_0004,refund,ultra_hard,16,9,0.298,claude-sonnet-4-6,0.942,False,5,66.6
task_0005,approval,ultra_hard,12,10,0.658,claude-sonnet-4-6,0.991,True,5,150.4
task_0006,access_control,ultra_hard,13,8,0.57,claude-sonnet-4-6,1.0,True,5,96.6
task_0007,escalation,ultra_hard,14,9,0.376,claude-sonnet-4-6,0.6295,False,3,76.8
task_0008,refund,ultra_hard,15,10,0.518,claude-sonnet-4-6,0.9265,False,5,77.2
task_0009,approval,ultra_hard,16,8,0.288,claude-sonnet-4-6,0.8285,False,5,301.4
task_0010,escalation,ultra_hard,13,10,0.474,claude-sonnet-4-6,0.87,False,5,77.2
task_0011,refund,ultra_hard,14,8,0.364,claude-sonnet-4-6,0.8635,False,5,92.1
task_0012,access_control,ultra_hard,16,10,0.482,claude-sonnet-4-6,0.639,False,5,134.0
task_0013,escalation,ultra_hard,12,8,0.39,claude-sonnet-4-6,0.591,False,6,78.3
task_0014,refund,ultra_hard,13,9,0.262,claude-sonnet-4-6,0.697,False,3,88.1
task_0015,escalation,ultra_hard,16,9,0.284,claude-sonnet-4-6,0.7765,False,5,86.8
task_0016,refund,ultra_hard,12,10,0.4,claude-sonnet-4-6,0.608,False,3,70.2
task_0017,approval,ultra_hard,13,8,0.78,claude-sonnet-4-6,0.5085,False,5,78.2
task_0018,access_control,ultra_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0019,escalation,ultra_hard,,,,claude-sonnet-4-6,0.0,False,0,
