task_id,domain,difficulty,n_rules_initial,n_updates,behavioral_diff_gold_vs_initial,model,final_score,success,n_tool_calls,elapsed_seconds
task_0000,refund,medium,,,,claude-sonnet-4-6,0.0,False,0,
task_0001,approval,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0002,access_control,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0003,escalation,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0004,refund,medium,,,,claude-sonnet-4-6,0.0,False,0,
task_0005,approval,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0006,access_control,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0007,escalation,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0008,refund,medium,,,,claude-sonnet-4-6,0.0,False,0,
task_0009,approval,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0010,access_control,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0011,escalation,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0012,refund,medium,,,,claude-sonnet-4-6,0.0,False,0,
task_0013,approval,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0014,access_control,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0015,escalation,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0016,refund,medium,,,,claude-sonnet-4-6,0.0,False,0,
task_0017,approval,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0018,access_control,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0019,escalation,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0020,refund,medium,,,,claude-sonnet-4-6,0.0,False,0,
task_0021,approval,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0022,access_control,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0023,escalation,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0024,refund,medium,,,,claude-sonnet-4-6,0.0,False,0,
task_0025,approval,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0026,access_control,hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0027,escalation,very_hard,,,,claude-sonnet-4-6,0.0,False,0,
task_0028,refund,medium,,,,claude-sonnet-4-6,0.0,False,0,
task_0029,approval,hard,,,,claude-sonnet-4-6,0.0,False,0,
