task_id,domain,difficulty,n_rules_initial,n_updates,behavioral_diff_gold_vs_initial,model,final_score,success,n_tool_calls,elapsed_seconds
task_0000,refund,ultra_hard,12,8,0.524,claude-sonnet-4-6,0.9345,False,6,115.1
task_0001,approval,ultra_hard,13,9,0.348,claude-sonnet-4-6,1.0,True,6,48.5
task_0002,access_control,ultra_hard,14,10,0.54,claude-sonnet-4-6,0.915,False,5,30.9
task_0003,escalation,ultra_hard,15,8,0.448,claude-sonnet-4-6,0.6115,False,3,85.0
task_0004,refund,ultra_hard,16,9,0.736,claude-sonnet-4-6,1.0,True,6,227.7
task_0005,approval,ultra_hard,12,10,0.224,claude-sonnet-4-6,1.0,True,6,192.7
task_0006,access_control,ultra_hard,13,8,0.558,claude-sonnet-4-6,0.9885,True,5,65.4
task_0007,escalation,ultra_hard,14,9,0.696,claude-sonnet-4-6,1.0,True,6,95.4
task_0008,refund,ultra_hard,15,10,0.578,claude-sonnet-4-6,1.0,True,6,168.6
task_0009,approval,ultra_hard,16,8,0.75,claude-sonnet-4-6,1.0,True,6,108.5
task_0010,access_control,ultra_hard,12,9,0.652,claude-sonnet-4-6,0.3555,False,3,74.0
task_0011,escalation,ultra_hard,13,10,0.478,claude-sonnet-4-6,0.9995,True,6,184.5
task_0012,refund,ultra_hard,14,8,0.5,claude-sonnet-4-6,1.0,True,5,118.2
task_0013,approval,ultra_hard,15,9,0.516,claude-sonnet-4-6,0.9985,True,5,180.9
task_0014,access_control,ultra_hard,16,10,0.618,claude-sonnet-4-6,1.0,True,5,121.4
task_0015,escalation,ultra_hard,12,8,0.33,claude-sonnet-4-6,0.7925,False,5,142.5
task_0016,refund,ultra_hard,13,9,0.626,claude-sonnet-4-6,1.0,True,5,197.5
task_0017,approval,ultra_hard,14,10,0.262,claude-sonnet-4-6,0.933,False,5,108.5
task_0018,access_control,ultra_hard,15,8,0.694,claude-sonnet-4-6,1.0,True,8,187.6
task_0019,refund,ultra_hard,12,10,0.212,claude-sonnet-4-6,0.9335,False,6,116.9
